,Location,Price,Number_of_bedrooms,Living_area,Furnished,Open_fireplace,Terrace,Garden,Surface_area_land,Pool,Condition
0,Verviers,296607.0,3.0,130.0,False,False,True,True,239.0,False,AS_NEW
6,Other,415000.0,3.0,207.0,False,False,True,True,534.0,False,AS_NEW
7,Other,405000.0,3.0,207.0,False,False,True,True,382.0,False,AS_NEW
8,Other,415000.0,3.0,207.0,False,False,True,True,532.0,False,AS_NEW
11,Other,415000.0,3.0,207.0,False,False,True,True,532.0,False,AS_NEW
13,Harelbeke,245000.0,3.0,161.0,False,False,False,False,353.0,False,GOOD
14,Zele,420000.0,3.0,196.0,False,False,False,False,350.0,False,AS_NEW
16,Other,90000.0,3.0,158.0,False,False,False,False,240.0,False,TO_RENOVATE
18,Other,160000.0,3.0,150.0,False,False,True,True,118.0,False,TO_RENOVATE
22,Stekene,419000.0,5.0,221.0,False,False,True,True,825.0,False,GOOD
23,Other,525000.0,4.0,238.0,False,False,True,False,475.0,False,GOOD
24,Tournai,199000.0,3.0,105.0,False,False,False,False,110.0,False,Unknown
29,Brugge,439000.0,4.0,189.0,False,False,True,True,160.0,False,AS_NEW
30,Other,415000.0,3.0,207.0,False,False,True,True,569.0,False,AS_NEW
31,Other,405000.0,3.0,207.0,False,False,True,True,382.0,False,AS_NEW
35,Deurne,325000.0,3.0,113.0,False,False,True,True,102.0,False,JUST_RENOVATED
37,Liege,299000.0,4.0,176.0,False,False,True,True,160.0,False,JUST_RENOVATED
38,Other,332000.0,3.0,235.0,False,False,True,False,675.0,False,GOOD
43,Hasselt,268000.0,4.0,197.0,False,False,False,True,195.0,False,TO_BE_DONE_UP
55,Merksem,399000.0,3.0,210.0,False,False,True,False,0.0,False,GOOD
58,Gent,319000.0,2.0,127.0,False,False,False,True,112.0,False,TO_BE_DONE_UP
60,Merksem,419000.0,4.0,185.0,False,False,False,True,206.0,False,JUST_RENOVATED
65,Other,295000.0,3.0,180.0,False,False,False,False,800.0,False,TO_BE_DONE_UP
67,Boom,314000.0,3.0,170.0,False,False,True,True,310.0,False,AS_NEW
69,Other,339000.0,3.0,149.0,False,False,True,True,207.0,False,GOOD
70,Other,389000.0,4.0,175.0,False,False,False,False,117.0,False,AS_NEW
71,Wevelgem,315000.0,3.0,219.0,False,False,False,False,355.0,False,GOOD
77,Other,215000.0,2.0,105.0,False,False,False,True,660.0,False,TO_BE_DONE_UP
80,Oostende,279000.0,3.0,125.0,False,False,False,True,323.0,False,GOOD
92,Other,395000.0,2.0,143.0,False,False,False,False,0.0,False,GOOD
100,Other,325000.0,2.0,115.0,False,False,True,True,151.0,False,AS_NEW
101,Other,295000.0,3.0,160.0,False,False,True,False,216.0,False,GOOD
102,Other,289000.0,3.0,160.0,False,False,True,False,216.0,False,GOOD
104,Other,292000.0,3.0,160.0,False,False,True,False,216.0,False,GOOD
107,Other,146000.0,2.0,93.0,False,False,False,False,572.0,False,TO_RENOVATE
108,Nivelles,260000.0,3.0,135.0,False,False,True,False,0.0,False,GOOD
109,Other,165000.0,3.0,120.0,False,True,False,False,355.0,False,TO_BE_DONE_UP
112,Other,525000.0,3.0,182.0,False,False,True,False,411.0,False,GOOD
114,Antwerp,540000.0,3.0,222.0,False,False,True,False,144.0,False,JUST_RENOVATED
115,Other,450000.0,4.0,170.0,True,False,True,False,74.0,False,TO_RENOVATE
116,Other,450000.0,4.0,170.0,True,False,True,False,74.0,False,TO_RENOVATE
117,Kortrijk,209000.0,3.0,171.0,False,False,False,False,183.0,False,TO_BE_DONE_UP
118,Other,215000.0,3.0,170.0,False,False,False,True,432.0,False,TO_RESTORE
124,Nivelles,350000.0,4.0,150.0,False,False,True,True,800.0,True,AS_NEW
125,Other,150000.0,4.0,113.0,False,False,False,True,110.0,False,GOOD
128,Other,156000.0,3.0,195.0,False,False,False,False,342.0,False,TO_RENOVATE
131,Other,179000.0,3.0,135.0,False,False,True,False,350.0,False,TO_RENOVATE
132,Other,120500.0,2.0,116.0,False,False,False,True,340.0,False,TO_RENOVATE
138,Other,135000.0,3.0,140.0,False,True,True,False,100.0,False,TO_BE_DONE_UP
150,Roeselare,165000.0,4.0,181.0,False,False,True,True,166.0,False,TO_BE_DONE_UP
151,Other,530000.0,4.0,258.0,False,True,True,False,705.0,False,AS_NEW
156,Other,230000.0,4.0,244.0,False,False,True,True,300.0,False,TO_RENOVATE
157,Other,120000.0,5.0,210.0,False,False,False,False,160.0,False,TO_RENOVATE
160,Other,215000.0,3.0,120.0,False,False,False,False,850.0,False,GOOD
162,Other,295000.0,3.0,145.0,False,False,True,True,540.0,False,GOOD
163,Other,420000.0,3.0,227.0,False,True,True,True,509.0,False,JUST_RENOVATED
166,Gent,330000.0,4.0,145.0,False,False,True,False,0.0,False,GOOD
172,Other,120000.0,2.0,78.0,False,False,True,False,180.0,False,GOOD
173,Other,126000.0,2.0,83.0,False,False,False,True,122.0,False,GOOD
174,Other,110000.0,2.0,74.0,False,False,False,False,0.0,False,GOOD
177,Waregem,390000.0,3.0,245.0,False,False,True,False,548.0,False,GOOD
178,Other,110000.0,2.0,74.0,False,False,False,False,0.0,False,GOOD
181,Waregem,390000.0,3.0,245.0,False,False,True,False,548.0,False,GOOD
182,Torhout,339000.0,3.0,114.0,False,False,True,True,192.0,False,GOOD
184,Other,295000.0,4.0,154.0,False,False,False,False,378.0,False,TO_RENOVATE
185,Izegem,219000.0,4.0,160.0,False,False,False,False,251.0,False,GOOD
187,Other,250000.0,2.0,159.0,False,False,True,False,47.0,False,TO_RENOVATE
190,Other,199001.0,2.0,100.0,False,False,True,True,150.0,False,GOOD
191,Other,385000.0,3.0,140.0,False,False,False,False,130.0,False,JUST_RENOVATED
192,Other,210000.0,3.0,170.0,False,False,True,False,341.0,False,GOOD
197,Other,144900.0,4.0,160.0,False,False,True,False,300.0,False,GOOD
199,Other,168000.0,3.0,140.0,False,False,True,False,280.0,False,GOOD
201,Other,280000.0,3.0,160.0,False,False,True,False,595.0,False,GOOD
202,Other,269900.0,3.0,111.0,False,False,True,True,0.0,False,AS_NEW
204,Other,275000.0,3.0,105.0,False,False,True,True,107.0,False,TO_RENOVATE
206,Other,285000.0,3.0,136.0,False,False,False,False,117.0,False,GOOD
208,Other,289000.0,3.0,160.0,False,False,True,False,110.0,False,JUST_RENOVATED
210,Seraing,176000.0,2.0,80.0,False,False,True,True,105.0,False,AS_NEW
211,Other,225000.0,3.0,141.0,False,False,True,True,510.0,False,GOOD
212,Other,189000.0,3.0,130.0,False,False,True,True,545.0,False,GOOD
216,Other,105000.0,3.0,117.0,False,False,False,False,0.0,False,GOOD
224,Other,299000.0,3.0,135.0,False,False,True,True,750.0,False,GOOD
231,Courcelles,189900.0,2.0,117.0,False,False,True,False,810.0,False,GOOD
232,Courcelles,89900.0,3.0,109.0,False,False,True,True,850.0,False,TO_RENOVATE
234,Liege,185000.0,4.0,95.0,False,False,True,False,0.0,False,GOOD
235,Other,125000.0,4.0,135.0,False,False,False,False,0.0,False,TO_RENOVATE
244,Nivelles,265000.0,3.0,187.0,False,False,True,False,231.0,False,GOOD
245,Other,335000.0,4.0,200.0,False,False,False,True,162.0,False,TO_BE_DONE_UP
246,Gent,335000.0,4.0,200.0,False,False,False,True,162.0,False,TO_BE_DONE_UP
247,Willebroek,389000.0,3.0,170.0,False,False,True,True,184.0,False,GOOD
250,Oostende,240000.0,3.0,133.0,False,False,True,True,141.0,False,GOOD
251,Antwerp,439900.0,2.0,145.0,False,False,False,False,34.0,False,JUST_RENOVATED
252,Other,220000.0,2.0,136.0,False,False,True,True,244.0,False,GOOD
255,Other,205000.0,3.0,151.0,False,False,False,False,545.0,False,TO_RENOVATE
257,Courcelles,65000.0,2.0,93.0,False,False,False,True,332.0,False,TO_RENOVATE
258,Other,369000.0,3.0,204.0,False,False,True,True,617.0,False,GOOD
259,Other,250000.0,3.0,154.0,False,False,True,False,200.0,False,TO_BE_DONE_UP
261,Other,310000.0,5.0,200.0,False,False,False,True,327.0,False,AS_NEW
262,Tubize,190000.0,3.0,201.0,False,False,True,False,135.0,False,TO_BE_DONE_UP
265,Other,95000.0,2.0,85.0,False,False,True,True,120.0,False,TO_RENOVATE
267,Other,329000.0,3.0,190.0,False,False,True,False,327.0,False,AS_NEW
270,Other,100000.0,2.0,101.0,False,False,False,False,51.0,False,TO_BE_DONE_UP
271,Other,125000.0,4.0,127.0,False,False,False,False,84.0,False,TO_BE_DONE_UP
277,Other,219000.0,3.0,165.0,False,False,True,False,0.0,False,TO_BE_DONE_UP
283,Other,248500.0,2.0,90.0,False,False,True,True,162.0,False,GOOD
284,Other,419000.0,3.0,164.0,False,False,True,False,180.0,False,TO_BE_DONE_UP
285,Other,339500.0,4.0,225.0,False,False,True,False,221.0,False,TO_BE_DONE_UP
286,Other,149000.0,2.0,110.0,False,False,True,True,354.0,False,GOOD
290,Antwerp,279000.0,3.0,126.0,False,False,False,False,133.0,False,AS_NEW
293,Other,275000.0,3.0,118.0,False,False,False,True,780.0,False,TO_BE_DONE_UP
295,Other,335000.0,3.0,167.0,False,False,False,False,267.0,False,GOOD
297,Other,289000.0,3.0,191.0,False,False,False,True,0.0,False,GOOD
300,Nieuwpoort,249000.0,3.0,160.0,False,False,False,False,0.0,False,TO_RENOVATE
301,Hasselt,424000.0,3.0,266.0,False,True,False,True,516.0,False,AS_NEW
303,Borgerhout,339900.0,3.0,140.0,False,False,False,True,140.0,False,TO_BE_DONE_UP
309,Antwerp,585000.0,5.0,240.0,False,False,True,True,90.0,False,AS_NEW
312,Other,385000.0,3.0,230.0,False,False,True,True,594.0,False,AS_NEW
315,Wevelgem,254950.0,3.0,168.0,False,False,True,True,175.0,False,AS_NEW
316,Other,239000.0,4.0,141.0,False,True,False,False,260.0,False,Unknown
317,Other,285000.0,3.0,160.0,False,False,False,False,232.0,False,TO_RENOVATE
318,Other,395000.0,3.0,163.0,False,False,False,False,623.0,False,TO_RENOVATE
319,Kortrijk,245000.0,2.0,168.0,False,False,False,False,144.0,False,TO_BE_DONE_UP
320,Blankenberge,349900.0,3.0,244.0,False,False,True,True,130.0,False,JUST_RENOVATED
323,Beersel,395000.0,4.0,165.0,False,False,True,False,0.0,False,GOOD
327,Other,475000.0,3.0,195.0,False,False,True,True,590.0,False,JUST_RENOVATED
328,Other,439900.0,5.0,232.0,False,False,False,True,858.0,False,AS_NEW
329,Other,315000.0,3.0,158.0,False,False,False,True,328.0,False,Unknown
332,Other,299000.0,3.0,205.0,False,False,True,False,130.0,False,GOOD
336,Other,150000.0,3.0,136.0,False,False,False,False,224.0,False,TO_RENOVATE
337,Other,555000.0,4.0,250.0,False,False,True,False,395.0,False,TO_BE_DONE_UP
341,Nieuwpoort,275000.0,4.0,162.0,False,False,False,True,97.0,False,TO_BE_DONE_UP
348,Other,425000.0,5.0,150.0,False,False,False,True,775.0,False,TO_BE_DONE_UP
353,Other,295000.0,3.0,170.0,False,True,False,False,812.0,False,TO_BE_DONE_UP
356,Waregem,450000.0,3.0,186.0,False,False,True,True,598.0,False,AS_NEW
358,Other,189000.0,2.0,136.0,False,False,False,True,300.0,False,TO_BE_DONE_UP
361,Other,245000.0,3.0,110.0,False,False,True,True,627.0,False,JUST_RENOVATED
364,Other,479000.0,4.0,275.0,False,False,True,True,475.0,False,AS_NEW
365,Other,310000.0,3.0,241.0,False,False,False,False,839.0,False,Unknown
